MachineShop.MachineShop.1 	 starts 	 MachineShop.MachineShop.1 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 100.0, y = 290.0 	 Source.entry.2 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 110.0, y = 300.0 	 Transport.toMachine1.10 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 200.0, y = 290.0 	 WaitQueue.Q1.3 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 220.0, y = 285.0 	 Resource.Machine1.5 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 240.0, y = 300.0 	 Transport.toMachine2.11 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 330.0, y = 290.0 	 WaitQueue.Q2.4 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 350.0, y = 285.0 	 Resource.Machine2.6 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 370.0, y = 300.0 	 Transport.toFinished.14 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 210.0, y = 300.0 	 Transport.toRawSell.12 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 340.0, y = 300.0 	 Transport.toHalfSell.13 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 200.0, y = 390.0 	 Sink.Raw.9 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 350.0, y = 390.0 	 Sink.Half-Finished.8 	 at time 0.0.
MachineShop.MachineShop.1 	 establish x = 600.0, y = 390.0 	 Sink.Finished.7 	 at time 0.0.
MachineShop.MachineShop.1 	 starts model for 1 replications 	 at time 0.0.
MachineShop.MachineShop.1 	 starts rep 1 	 at time 0.0.
MachineShop.MachineShop.1 	 resumes 	 Source.entry.2 	 at time 0.0.
Source.entry.2 	 generates 	 Part.c.15 	 at time 0.0.
Source.entry.2 	 resumes 	 MachineShop.MachineShop.1 	 at time 0.0.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 0.0.
Transport.toMachine1.10 	 moves for 10.75130220502615 	 Part.c.15 	 at time 0.0.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 0.0.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 0.5375651102513075.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 0.5375651102513075.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 1.075130220502615.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 1.075130220502615.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 1.6126953307539225.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 1.6126953307539225.
MachineShop.MachineShop.1 	 resumes 	 Source.entry.2 	 at time 1.84466066632366.
Source.entry.2 	 generates 	 Part.c.16 	 at time 1.84466066632366.
Source.entry.2 	 resumes 	 MachineShop.MachineShop.1 	 at time 1.84466066632366.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 1.84466066632366.
Transport.toMachine1.10 	 moves for 14.920963351614773 	 Part.c.16 	 at time 1.84466066632366.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 1.84466066632366.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 2.15026044100523.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 2.15026044100523.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 2.5907088339043987.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 2.5907088339043987.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 2.6878255512565374.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 2.6878255512565374.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 3.225390661507845.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 3.225390661507845.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 3.3367570014851373.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 3.3367570014851373.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 3.7629557717591524.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 3.7629557717591524.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 4.082805169065876.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 4.082805169065876.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 4.30052088201046.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 4.30052088201046.
MachineShop.MachineShop.1 	 resumes 	 Source.entry.2 	 at time 4.769196012161384.
Source.entry.2 	 generates 	 Part.c.17 	 at time 4.769196012161384.
Source.entry.2 	 resumes 	 MachineShop.MachineShop.1 	 at time 4.769196012161384.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 4.769196012161384.
Transport.toMachine1.10 	 moves for 11.821409524418414 	 Part.c.17 	 at time 4.769196012161384.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 4.769196012161384.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 4.828853336646615.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 4.828853336646615.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 4.838085992261767.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 4.838085992261767.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 5.360266488382305.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 5.360266488382305.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 5.375651102513075.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 5.375651102513075.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 5.574901504227354.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 5.574901504227354.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 5.913216212764382.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 5.913216212764382.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 5.951336964603225.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 5.951336964603225.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 6.320949671808092.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 6.320949671808092.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 6.45078132301569.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 6.45078132301569.
